     0    0   -0.00820153
     0    0.25   -0.00386082
     0    0.5   -0.00165458
     0    0.75   -0.000634454
     0    1   -0.000212608
     0    1.25   -6.02325e-05
     0    1.5   -1.37412e-05
     0    1.75   -2.34066e-06
     0    2   -2.62238e-07
     0    2.25   -1.52266e-08
     0    2.5   -2.67769e-10
     0    2.75   -2.50601e-13
     0    3   2.13428e-22
     0    3.25   -2.50601e-13
     0    3.5   -2.67769e-10
     0    3.75   -1.52266e-08
     0    4   -2.62238e-07
     0    4.25   -2.34066e-06
     0    4.5   -1.37412e-05
     0    4.75   -6.02325e-05
     0    5   -0.000212608
     0    5.25   -0.000634454
     0    5.5   -0.00165458
     0    5.75   -0.00386082
     0.25    0   -0.0028555
     0.25    0.25   -0.00102722
     0.25    0.5   -0.000302102
     0.25    0.75   -6.63076e-05
     0.25    1   -9.02451e-06
     0.25    1.25   -4.68198e-07
     0.25    1.5   -8.16267e-10
     0.25    1.75   2.20337e-09
     0.25    2   2.23117e-07
     0.25    2.25   1.56409e-06
     0.25    2.5   4.45884e-06
     0.25    2.75   7.65946e-06
     0.25    3   9.06706e-06
     0.25    3.25   7.65946e-06
     0.25    3.5   4.45884e-06
     0.25    3.75   1.56409e-06
     0.25    4   2.23117e-07
     0.25    4.25   2.20337e-09
     0.25    4.5   -8.16267e-10
     0.25    4.75   -4.68198e-07
     0.25    5   -9.02451e-06
     0.25    5.25   -6.63076e-05
     0.25    5.5   -0.000302102
     0.25    5.75   -0.00102722
     0.5    0   -0.000749672
     0.5    0.25   -0.000169738
     0.5    0.5   -2.28208e-05
     0.5    0.75   -9.9775e-07
     0.5    1   -2.67769e-10
     0.5    1.25   4.64927e-08
     0.5    1.5   2.43946e-06
     0.5    1.75   1.69544e-05
     0.5    2   5.55762e-05
     0.5    2.25   0.000120232
     0.5    2.5   0.000196561
     0.5    2.75   0.000258851
     0.5    3   0.000282893
     0.5    3.25   0.000258851
     0.5    3.5   0.000196561
     0.5    3.75   0.000120232
     0.5    4   5.55762e-05
     0.5    4.25   1.69544e-05
     0.5    4.5   2.43946e-06
     0.5    4.75   4.64927e-08
     0.5    5   -2.67769e-10
     0.5    5.25   -9.9775e-07
     0.5    5.5   -2.28208e-05
     0.5    5.75   -0.000169738
