               1.0000e+00               1.0000e+02
               1.5849e+00               1.0025e+02
               2.5119e+00               1.0087e+02
               3.9811e+00               1.0158e+02
               6.3096e+00               1.0213e+02
               1.0000e+01               1.0232e+02
               1.5849e+01               1.0211e+02
               2.5119e+01               1.0158e+02
               3.9811e+01               1.0092e+02
               6.3096e+01               1.0035e+02
               1.0000e+02               1.0004e+02
               1.5849e+02               1.0004e+02
               2.5119e+02               1.0032e+02
               3.9811e+02               1.0074e+02
               6.3096e+02               1.0113e+02
               1.0000e+03               1.0135e+02
               1.5849e+03               1.0134e+02
               2.5119e+03               1.0110e+02
               3.9811e+03               1.0073e+02
               6.3096e+03               1.0035e+02
               1.0000e+04               1.0009e+02
               1.5849e+04               1.0000e+02
               2.5119e+04               1.0010e+02
               3.9811e+04               1.0032e+02
               6.3096e+04               1.0057e+02
               1.0000e+05               1.0076e+02
               1.5849e+05               1.0082e+02
               2.5119e+05               1.0073e+02
               3.9811e+05               1.0054e+02
               6.3096e+05               1.0031e+02
               1.0000e+06               1.0011e+02
               1.5849e+06               1.0001e+02
               2.5119e+06               1.0002e+02
               3.9811e+06               1.0012e+02
               6.3096e+06               1.0027e+02
               1.0000e+07               1.0040e+02
               1.5849e+07               1.0048e+02
               2.5119e+07               1.0047e+02
               3.9811e+07               1.0038e+02
               6.3096e+07               1.0025e+02
               1.0000e+08               1.0012e+02
               1.5849e+08               1.0003e+02
               2.5119e+08               1.0000e+02
               3.9811e+08               1.0004e+02
               6.3096e+08               1.0012e+02
               1.0000e+09               1.0020e+02
               1.5849e+09               1.0027e+02
               2.5119e+09               1.0029e+02
               3.9811e+09               1.0025e+02
               6.3096e+09               1.0019e+02
               1.0000e+10               1.0010e+02
               1.5849e+10               1.0004e+02
               2.5119e+10               1.0000e+02
               3.9811e+10               1.0001e+02
               6.3096e+10               1.0004e+02
               1.0000e+11               1.0010e+02
               1.5849e+11               1.0014e+02
               2.5119e+11               1.0017e+02
               3.9811e+11               1.0016e+02
               6.3096e+11               1.0013e+02
               1.0000e+12               1.0008e+02
               1.5849e+12               1.0004e+02
               2.5119e+12               1.0001e+02
               3.9811e+12               1.0000e+02
               6.3096e+12               1.0001e+02
               1.0000e+13               1.0004e+02
               1.5849e+13               1.0007e+02
               2.5119e+13               1.0009e+02
               3.9811e+13               1.0010e+02
               6.3096e+13               1.0009e+02
               1.0000e+14               1.0006e+02
               1.5849e+14               1.0004e+02
               2.5119e+14               1.0001e+02
               3.9811e+14               1.0000e+02
               6.3096e+14               1.0000e+02
               1.0000e+15               1.0002e+02
               1.5849e+15               1.0004e+02
               2.5119e+15               1.0005e+02
               3.9811e+15               1.0006e+02
               6.3096e+15               1.0006e+02
               1.0000e+16               1.0005e+02
               1.5849e+16               1.0003e+02
               2.5119e+16               1.0001e+02
               3.9811e+16               1.0000e+02
               6.3096e+16               1.0000e+02
               1.0000e+17               1.0001e+02
               1.5849e+17               1.0002e+02
               2.5119e+17               1.0003e+02
               3.9811e+17               1.0003e+02
               6.3096e+17               1.0004e+02
               1.0000e+18               1.0003e+02
               1.5849e+18               1.0002e+02
               2.5119e+18               1.0001e+02
               3.9811e+18               1.0000e+02
               6.3096e+18               1.0000e+02
               1.0000e+19               1.0000e+02
               1.5849e+19               1.0001e+02
               2.5119e+19               1.0001e+02
               3.9811e+19               1.0002e+02
               6.3096e+19               1.0002e+02
